label	x1	x2	x3	x4	x5	x6	x7	x8
-0.342443	2.040447	-1.784712	-0.561586	-1.469119	0.999349	-1.340767	-1.759300	-1.813393
-0.342443	2.040447	-1.784712	-0.561586	-1.469119	0.999349	-0.446922	-1.759300	-1.813393
-0.342443	2.040447	-1.784712	-0.561586	-1.469119	0.999349	0.446922	-1.759300	-1.813393
-0.342443	2.040447	-1.784712	-0.561586	-1.469119	0.999349	1.340767	-1.759300	-1.813393
0.388113	1.284142	-1.228438	0.000000	-1.197897	0.999349	-1.340767	-1.759300	-1.813393
0.083277	1.284142	-1.228438	0.000000	-1.197897	0.999349	-0.446922	-1.759300	-1.813393
0.060151	1.284142	-1.228438	0.000000	-1.197897	0.999349	0.446922	-1.759300	-1.813393
0.526866	1.284142	-1.228438	0.000000	-1.197897	0.999349	1.340767	-1.759300	-1.813393
0.285100	0.905990	-0.950301	-0.561586	-0.655453	0.999349	-1.340767	-1.759300	-1.813393
-0.275168	0.905990	-0.950301	-0.561586	-0.655453	0.999349	-0.446922	-1.759300	-1.813393
-0.115392	0.905990	-0.950301	-0.561586	-0.655453	0.999349	0.446922	-1.759300	-1.813393
0.345016	0.905990	-0.950301	-0.561586	-0.655453	0.999349	1.340767	-1.759300	-1.813393
-0.085960	0.527838	-0.672164	0.000000	-0.655453	0.999349	-1.340767	-1.759300	-1.813393
-0.328777	0.527838	-0.672164	0.000000	-0.655453	0.999349	-0.446922	-1.759300	-1.813393
-0.360312	0.527838	-0.672164	0.000000	-0.655453	0.999349	0.446922	-1.759300	-1.813393
0.035975	0.527838	-0.672164	0.000000	-0.655453	0.999349	1.340767	-1.759300	-1.813393
1.381459	0.244223	-0.394027	0.561586	-0.655453	0.999349	-1.340767	-1.759300	-1.813393
0.702410	0.244223	-0.394027	0.561586	-0.655453	0.999349	-0.446922	-1.759300	-1.813393
0.666670	0.244223	-0.394027	0.561586	-0.655453	0.999349	0.446922	-1.759300	-1.813393
1.561207	0.244223	-0.394027	0.561586	-0.655453	0.999349	1.340767	-1.759300	-1.813393
0.546838	-0.039391	-0.115890	2.246342	-1.197897	0.999349	-1.340767	-1.759300	-1.813393
0.535276	-0.039391	-0.115890	2.246342	-1.197897	0.999349	-0.446922	-1.759300	-1.813393
0.546838	-0.039391	-0.115890	2.246342	-1.197897	0.999349	0.446922	-1.759300	-1.813393
0.505843	-0.039391	-0.115890	2.246342	-1.197897	0.999349	1.340767	-1.759300	-1.813393
-1.438802	-0.228467	0.162247	-1.684757	0.971879	-0.999349	-1.340767	-1.759300	-1.813393
-1.408318	-0.228467	0.162247	-1.684757	0.971879	-0.999349	-0.446922	-1.759300	-1.813393
-1.434597	-0.228467	0.162247	-1.684757	0.971879	-0.999349	0.446922	-1.759300	-1.813393
-1.410420	-0.228467	0.162247	-1.684757	0.971879	-0.999349	1.340767	-1.759300	-1.813393
-1.399909	-0.512081	0.440383	-1.123171	0.971879	-0.999349	-1.340767	-1.759300	-1.813393
-1.352607	-0.512081	0.440383	-1.123171	0.971879	-0.999349	-0.446922	-1.759300	-1.813393
-1.397807	-0.512081	0.440383	-1.123171	0.971879	-0.999349	0.446922	-1.759300	-1.813393
-1.357862	-0.512081	0.440383	-1.123171	0.971879	-0.999349	1.340767	-1.759300	-1.813393
-1.350504	-0.701157	0.718520	-0.561586	0.971879	-0.999349	-1.340767	-1.759300	-1.813393
-1.317918	-0.701157	0.718520	-0.561586	0.971879	-0.999349	-0.446922	-1.759300	-1.813393
-1.351555	-0.701157	0.718520	-0.561586	0.971879	-0.999349	0.446922	-1.759300	-1.813393
-1.330532	-0.701157	0.718520	-0.561586	0.971879	-0.999349	1.340767	-1.759300	-1.813393
-1.281128	-0.984772	0.996657	0.000000	0.971879	-0.999349	-1.340767	-1.759300	-1.813393
-1.298998	-0.984772	0.996657	0.000000	0.971879	-0.999349	-0.446922	-1.759300	-1.813393
-1.281128	-0.984772	0.996657	0.000000	0.971879	-0.999349	0.446922	-1.759300	-1.813393
-1.308458	-0.984772	0.996657	0.000000	0.971879	-0.999349	1.340767	-1.759300	-1.813393
-0.820720	-1.173848	1.274794	0.561586	0.971879	-0.999349	-1.340767	-1.759300	-1.813393
-0.818618	-1.173848	1.274794	0.561586	0.971879	-0.999349	-0.446922	-1.759300	-1.813393
-0.823874	-1.173848	1.274794	0.561586	0.971879	-0.999349	0.446922	-1.759300	-1.813393
-0.832283	-1.173848	1.274794	0.561586	0.971879	-0.999349	1.340767	-1.759300	-1.813393
-1.315816	-1.362924	1.552931	1.123171	0.971879	-0.999349	-1.340767	-1.759300	-1.813393
-1.300049	-1.362924	1.552931	1.123171	0.971879	-0.999349	-0.446922	-1.759300	-1.813393
-1.314765	-1.362924	1.552931	1.123171	0.971879	-0.999349	0.446922	-1.759300	-1.813393
-1.318970	-1.362924	1.552931	1.123171	0.971879	-0.999349	1.340767	-1.759300	-1.813393
