label,x1,x2,x3,x4,x5
0.622812,4.938342,1.133701,1.5436969999999999,2.464181,4.186611
0.323418,5.484751999999999,0.320307,2.904714,5.355388,0.35273000000000004
0.588406,0.811921,4.389041000000001,2.444451,4.253476999999999,1.1566049999999999
0.45502700000000007,5.530255,2.134626,3.646629,1.501234,0.32395
0.545437,3.844155,4.013701,4.853137,4.6089910000000005,5.360249
0.450358,0.635242,2.353212,0.680413,1.795554,5.088766000000001
0.559027,1.7209889999999999,3.814079,4.9786529999999996,1.714632,0.758931
0.381921,3.331289,0.179899,5.096518,0.086647,2.512489
0.395789,5.795041,5.51342,2.177037,2.2982669999999996,0.7713720000000001
0.589136,5.839331,4.853352,2.630417,2.671597,3.4825550000000005
0.49060200000000004,0.9956780000000001,4.525085,3.483435,1.875791,5.746341
0.454617,5.873557,4.9286769999999995,4.254948000000001,1.795162,1.588311
0.375121,5.7930019999999995,2.349838,4.504819,1.505098,5.989193
0.625988,2.962254,3.753675,4.597305,5.670102,2.148848
0.593983,4.851683,3.502969,2.384773,5.2111410000000005,1.301134
0.908221,0.9013180000000001,3.23031,2.6258150000000002,2.43337,4.044963
0.434857,2.580568,1.700419,5.788068,2.926515,5.890068
0.682588,5.544413,1.541774,3.487828,3.439977,3.786199
0.512205,4.803244,2.759833,5.148332,2.987716,0.431227
0.51731,5.806955,1.416277,1.708072,1.66887,2.291057
0.437662,3.9844440000000003,4.876698,3.7839419999999997,5.988441000000001,1.047509
0.363935,0.26427,5.966625,3.58017,1.1520540000000001,1.437668
0.269054,5.144776,0.229952,5.830811,5.21994,0.363252
0.315654,5.6539589999999995,3.263985,0.565416,0.24579499999999999,5.460538
0.6116590000000001,4.1224110000000005,0.572463,3.052993,2.041748,4.80975
0.717565,4.596441,4.862549,3.179538,4.542482,2.288086
0.370374,4.508795,5.984869000000001,0.590996,3.9161989999999998,5.0423279999999995
0.41309799999999997,2.403362,0.45167799999999997,5.477999,1.065428,4.573007
0.370635,3.9828669999999997,5.68639,5.3563339999999995,5.763230999999999,3.7811790000000003
0.577805,1.07712,0.159065,2.683938,3.309621,2.414559
0.728773,4.286277,4.153032,4.740336,1.558481,2.205668
0.38407399999999997,0.240997,4.752419000000001,0.94079,3.5214339999999997,0.5831149999999999
0.685293,1.711538,3.254825,3.768896,5.54286,2.100062
0.390061,0.32702800000000004,5.362157,1.613742,5.423579,3.342024
0.599123,0.632791,5.4440290000000005,2.723937,2.94504,2.813285
0.665838,4.990747,3.805626,5.113997,2.70644,3.922714
0.6528579999999999,4.218972,0.8772139999999999,1.2272299999999998,1.9205299999999998,3.131125
0.48375100000000004,1.9525970000000001,1.35681,1.8731099999999998,0.381883,4.936559
0.414987,5.751332,1.1428459999999998,2.949767,4.572751,0.633099
0.394485,0.256676,0.300919,2.0768720000000003,0.841685,2.832281
0.67438,2.682466,0.69165,4.840915,2.1855330000000004,3.5889050000000005
0.540094,2.3393509999999997,3.7486610000000002,5.974925,2.425226,1.173032
0.399877,4.643101000000001,5.687966,1.004285,5.3631269999999995,3.717981
0.380818,4.821199,2.176734,1.471279,0.17743699999999998,0.361652
0.671031,1.1712360000000002,2.513775,4.26342,5.114484,3.5043620000000004
0.496425,2.988586,5.956097,2.3028299999999997,1.7784240000000002,5.104068
0.43558500000000006,2.7235169999999997,5.723475,5.892229,1.552057,3.048356
0.64477,3.9278779999999998,4.109868,5.883833,2.9802779999999998,2.684149
0.44108,4.306189,5.979814,3.9121879999999996,4.424217,0.944342
0.38698299999999997,4.578119999999999,4.650988,5.210593,1.2656969999999998,0.219677
0.764107,1.70615,2.0701959999999997,2.4613,1.3476569999999999,4.590019
0.504454,4.128216,4.024291000000001,3.841585,5.908007,4.826637
0.5341560000000001,3.9805879999999996,1.5149920000000001,5.9614199999999995,3.6094150000000003,1.811334
0.5947720000000001,1.02567,1.8230439999999999,3.406864,1.876421,0.74124
0.370961,0.7639859999999999,4.131069999999999,5.651551,5.856217,2.30055
0.59137,3.040184,3.2170810000000003,4.372058999999999,5.425819000000001,5.0233620000000005
0.48056800000000005,5.808464,2.519561,2.954231,1.190153,5.100658999999999
0.596214,2.092314,3.665829,3.8841870000000003,0.060796,4.041430999999999
0.434464,3.561607,4.55312,5.375821,4.320583,5.81084
0.427277,1.3928719999999999,3.551199,1.242421,5.256361,5.7087069999999995
0.553141,4.557601999999999,3.360755,2.422198,0.759847,0.726197
0.406568,1.580571,3.551424,6.003051999999999,0.284138,3.939725
1.7476610000000001,3.0857419999999998,3.12092,2.46411,3.639167,2.9348240000000003
0.48678299999999997,4.24446,0.545556,4.003139,3.675881,0.44912399999999997
0.40635,5.39542,4.367421,5.458089,3.1485939999999997,5.436627
0.25246999999999997,5.805749,6.026937,6.022291,0.095044,3.0333810000000003
0.9138270000000001,3.333293,2.177206,3.96898,4.1836,4.677821
0.26894,0.881747,5.877553,0.700619,5.726122,0.41217299999999996
0.40665100000000004,0.9457639999999999,2.128693,0.26668400000000003,5.291219,1.624745
0.5199699999999999,1.59505,5.369263,3.758547,0.7296590000000001,3.9564160000000004
0.6696770000000001,5.094304,2.7781689999999997,3.452866,2.177416,0.8516229999999999
0.548447,1.575693,2.530564,5.821788,1.5016209999999999,3.881274
0.696437,4.935708999999999,1.356392,4.526633,3.412,2.359659
0.6127,1.51115,0.803928,4.025097,3.7263629999999996,4.644189
0.650217,5.625582,1.903488,3.18988,1.854855,3.9674940000000003
